,_id,age,comment_first_sec,comment_second_sec,conn,exp,follower_acc,freq,gender,infl_acc,location,mot,time,user_acc,label
53,5bd2f7df1f6e4f68d47d346f,range2,"Not everyone likes fashion, but we all like the money generated through this survey","She does not care much about fashion, but what the survey can give her",64,24,RebecaLeonard,never,male,ladygaga,VE,40,0:10:37,LordCerelac,1
21,5bd0e5d01f6e4f7be5481996,range2,"It depends some on the person doing it, but it seems like a different survey from anothers on the site",He has a lot of post with fashion trending,70,46,josesialv92,always,male,KylieJenner,VE,65,0:08:56,anthonypnieles,1
2,5bd07bde5d0e65315c6a8baf,range3,it's entertaining,she likes to be updated,61,51,@PAMELLARAO,sometimes,male,ChiaraFerragni,VE,61,0:14:56,elprincipejoel,1
3,5bd08a991f6e4f7be546f715,range3,I think that most of other users above 30 years have their own fashion style so they dont have need to consult with fashion influencers opinion.,I think that females are more interested in fashion then males. :) P.S. Sorry for my bad english grammar.,16,1,newari_maicha,never,male,ManRepeller,RS,31,0:11:59,PredragJovano13,1
4,5bd092e05d0e65315c6ac858,range3,I think people generally have some interests in fashion.. but not me ,I have no idea actually cuz she is a journalist ,33,36,Tulip48682302,rarely,male,tinaleung,TR,82,0:05:55,firaskurtoglu,1
0,5bd1c2b31f6e4f68d47a8251,range5,Raises interest in fashion,Raises interest in fashion,68,24,vskarich,rarely,male,JakeHarding,MD,85,0:07:01,Anatol,0
0,5bd1b5365d0e65692ed611df,range5,they are modern people and follow the fashion,he will be interested to learn something new about fashion,57,57,timtrueman,sometimes,Female,vskarich,UA,75,0:03:33,NadinBni ,0
0,5bd1a64e1f6e4f68d47a4eaa,range2,sempatik bir anket o yüzden .,hoş bir anket o yüzden hoşlanır.,96,84,fizik_,always,male,BuseTerim,TR,99,0:05:26,pnrbaharr,1
1,5bd1a7631f6e4f68d47a5165,range2,Improve the fashion experience of many people can advance the world.,0,70,70,@kattrieel,always,Female,Paugalindo,VE,80,0:08:55,andreaablg_,1
0,5bd1cb721f6e4f68d47a99aa,range3,The survey raises interest in fashion,The survey is of interest to fashion,87,20,Olesea,rarely,male,vskarich,MD,100,0:09:09,Edvard,0
62,5bd2fb041f6e4f68d47d3e24,range5,Fashion is subjective and is not something that everyone likes,"He does not work in surveys, much less in fashion",35,37,Soy_ealm,sometimes,Female,ladygaga,VE,36,0:09:40,RebecaLeonard,1
85,5bd308e31f6e4f68d47d7220,range3,easy work...good pay... moderne theme,easy money and modern issue,77,69,@Bude0090,sometimes,male,ladygaga,MD,70,0:11:56,VictorMereuta4,1
68,5bd2fea85d0e65692eda3fa5,range2,"my friends are very obsessed with fashion, like me",he's into fashion as well,100,100,TeotonioDiego,always,male,KylieJenner,BR,100,0:09:51,bocaveras,1
